date	state	new_confirmed	new_deceased	new_recovered	new_tested	total_confirmed	total_deceased	total_recovered	total_tested
2020-03-16	NE	40	0	0	218	375	0	0	2200
2020-03-16	VI	15	0	0	16	54	0	0	39
2020-03-16	MD	251	3	0	251	1130	13	0	1778
2020-03-16	SC	266	4	0	1501	979	17	0	7376
2020-03-16	MI	1270	16	0	12674	4171	39	0	65765
2020-03-16	CT	374	10	0	4349	1482	32	0	11757
2020-03-16	ME	90	0	0	2117	450	0	0	15014
2020-03-16	OR	145	4	0	3040	830	25	0	16293
2020-03-16	MN	181	1	0	2886	885	3	0	26799
2020-03-16	RI	85	0	0	1432	399	0	0	10221
2020-03-16	IA	83	0	0	2043	419	0	0	5596
2020-03-16	PR	26	2	0	241	105	4	0	1114
2020-03-23	GA	2232	78	0	7655	14481	470	0	66793
2020-03-23	WI	851	15	0	9762	6219	92	0	97486
2020-03-23	GU	31	0	0	220	341	7	21	2315
2020-03-23	NC	1001	6	0	12426	5823	22	0	104410
2020-03-23	MN	341	9	122	15431	2819	32	755	102806
2020-03-23	HI	127	0	0	4989	941	0	0	36505
2020-03-23	IL	3785	72	0	20590	22208	305	0	147550
2020-03-23	IN	1533	32	0	9698	7066	213	0	47769
2020-03-23	ND	77	3	4	2454	507	6	68	18026
2020-03-23	AS	0	0	0	0	0	0	0	0
2020-03-23	MI	5184	181	0	25717	27244	664	0	194059
2020-03-23	ME	168	3	34	771	1322	8	165	24497
2020-03-23	MT	132	4	0	3134	812	7	0	20583
2020-03-23	MO	866	9	0	13683	4605	66	0	40726
2020-03-23	KY	356	8	0	4152	2218	50	0	28906
2020-03-23	MS	599	15	0	2444	4037	63	0	20107
2020-03-23	ID	365	7	0	3350	1604	25	0	21502
2020-03-23	LA	2852	152	0	28085	19112	789	0	146507
2020-03-23	IA	319	6	8	4438	1744	19	88	28502
2020-03-23	WV	129	1	0	2646	644	2	0	12794
2020-03-23	AR	307	7	18	4655	2639	28	124	19177
2020-03-23	MD	1125	12	0	14347	5868	53	25	43332
2020-03-23	MP	2	0	0	2	6	0	0	6
2020-03-23	MA	4975	47	0	33878	23618	234	0	203614
2020-03-23	KS	292	7	0	4423	1601	35	0	24505
2020-03-23	WA	3079	111	0	28649	26420	1207	0	489236
2020-03-23	NH	213	2	0	3503	1376	13	0	28686
2020-03-23	PA	3512	42	0	30625	16321	182	0	162500
2020-03-23	NM	199	4	24	5793	1269	11	28	60693
2020-03-23	OR	416	11	0	9043	2842	83	0	59803
2020-03-23	SD	72	0	18	2524	433	7	126	16282
2020-03-23	NV	779	14	0	7480	4578	83	0	49504
2020-03-23	WY	68	0	17	1316	485	0	98	9254
2020-03-23	CO	1907	41	0	9928	12169	227	0	72427
2020-03-23	NY	46605	1329	2159	108179	323429	5419	12547	977368
2020-03-23	TN	1199	11	0	19417	8298	40	0	116196
2020-03-23	SC	626	13	0	3321	4126	87	0	22384
2020-03-23	RI	302	4	0	1683	1565	9	0	20664
2020-03-23	DC	358	7	104	2425	2223	35	431	17805
2020-03-23	OK	400	15	0	811	2127	71	0	9301
2020-03-23	PR	143	4	0	1644	634	23	0	7810
2020-03-23	CT	2156	26	0	10100	9884	182	0	61135
2020-03-23	NE	112	3	0	2328	799	9	0	12709
2020-03-23	VI	13	0	0	163	142	0	0	787
2020-03-23	OH	1489	34	0	26693	8286	151	0	121291
2020-03-23	VA	766	20	0	8341	4537	109	0	55179
2020-03-23	DE	232	11	5	2262	1565	41	40	16694
2020-03-23	VT	181	10	0	2490	1262	70	0	20850
2020-03-23	AK	86	5	0	3033	633	28	0	23140
2020-03-23	TX	2303	32	0	25825	12588	164	38	156651
2020-03-23	AL	751	11	0	4721	4302	28	0	30426
2020-03-23	AZ	935	18	0	16179	4773	88	0	49676
2020-03-23	NJ	13792	172	0	38563	64924	796	0	180780
2020-03-23	FL	4473	54	0	40604	23790	306	0	229986
2020-03-23	CA	5181	108	0	64996	34110	708	0	522620
2020-03-23	UT	549	3	0	10956	3660	13	0	70922
2020-03-30	PA	8919	122	0	45990	61018	812	0	439204
